date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,ma10,ta10
2019-01-22,sh.600375,3.8500000000,3.8600000000,3.7600000000,3.7900000000,3.8500000000,4748937,18027506.0000,2,0.854524,1,-1.558440,0,3.8710000000000186,0.9428190000000004
2019-01-23,sh.600375,3.7700000000,3.8300000000,3.7500000000,3.8200000000,3.7900000000,4053638,15347072.0000,2,0.729412,1,0.791556,0,3.8610000000000184,0.8580213000000004
2019-01-24,sh.600375,3.7800000000,3.8800000000,3.7800000000,3.8600000000,3.8200000000,3743100,14394151.0000,2,0.673534,1,1.047119,0,3.8570000000000184,0.8301861000000004
2019-01-25,sh.600375,3.8700000000,3.9500000000,3.8200000000,3.8300000000,3.8600000000,5397500,20917264.0000,2,0.9712270000000001,1,-0.777201,0,3.848000000000018,0.8467388000000005
2019-01-28,sh.600375,3.8400000000,3.8900000000,3.7700000000,3.7900000000,3.8300000000,4448771,16988733.0000,2,0.800512,1,-1.044385,0,3.8390000000000177,0.8577843000000005
2019-01-29,sh.600375,3.7400000000,3.7900000000,3.6500000000,3.7500000000,3.7900000000,4794600,17770765.0000,2,0.862741,1,-1.055408,0,3.821000000000018,0.8654750000000005
2019-01-30,sh.600375,3.7500000000,3.7500000000,3.6300000000,3.6600000000,3.7500000000,4200867,15438865.0000,2,0.755904,1,-2.399998,0,3.7990000000000173,0.8420875000000004
2019-01-31,sh.600375,3.7000000000,3.7000000000,3.5500000000,3.5800000000,3.6600000000,5129833,18539964.0000,2,0.923062,1,-2.185797,0,3.7760000000000167,0.8408860000000005
2019-02-01,sh.600375,3.6100000000,3.6700000000,3.5800000000,3.6700000000,3.5800000000,2321100,8415415.0000,2,0.417659,1,2.513971,0,3.760000000000017,0.7835427000000005
2019-02-11,sh.600375,3.6700000000,3.7500000000,3.6700000000,3.7400000000,3.6700000000,3120871,11649182.0000,2,0.56157,1,1.907355,0,3.7490000000000174,0.7550145000000004
2019-02-12,sh.600375,3.7500000000,3.8300000000,3.7500000000,3.8300000000,3.7400000000,3229928,12263209.0000,2,0.5811930000000001,1,2.406415,0,3.753000000000017,0.7276814000000005
2019-02-13,sh.600375,3.8400000000,3.8900000000,3.8100000000,3.8900000000,3.8300000000,7209900,27768846.0000,2,1.29735,1,1.566584,0,3.760000000000017,0.7844752000000005
